----------------------------------------
[23.12.2020 | 11:24:34] Binarization frame 360 complete!
[23.12.2020 | 11:24:34] Binarization frame 361 complete!
[23.12.2020 | 11:24:34] Binarization frame 362 complete!
[23.12.2020 | 11:24:34] Binarization frame 363 complete!
[23.12.2020 | 11:24:34] Binarization frame 364 complete!
[23.12.2020 | 11:24:34] Binarization frame 365 complete!
[23.12.2020 | 11:24:34] Binarization frame 366 complete!
[23.12.2020 | 11:24:34] Binarization frame 367 complete!
[23.12.2020 | 11:24:34] Binarization frame 368 complete!
[23.12.2020 | 11:24:34] Binarization frame 369 complete!
[23.12.2020 | 11:24:34] Binarization frame 370 complete!
[23.12.2020 | 11:24:34] Binarization frame 371 complete!
[23.12.2020 | 11:24:34] Binarization frame 372 complete!
[23.12.2020 | 11:24:34] Binarization frame 373 complete!
[23.12.2020 | 11:24:34] Binarization frame 374 complete!
[23.12.2020 | 11:24:34] Binarization frame 375 complete!
[23.12.2020 | 11:24:34] Binarization frame 376 complete!
[23.12.2020 | 11:24:34] Binarization frame 377 complete!
[23.12.2020 | 11:24:34] Binarization frame 378 complete!
[23.12.2020 | 11:24:34] Binarization frame 379 complete!
[23.12.2020 | 11:24:34] Binarization frame 380 complete!
[23.12.2020 | 11:24:34] Binarization frame 381 complete!
[23.12.2020 | 11:24:34] Binarization frame 382 complete!
[23.12.2020 | 11:24:34] Binarization frame 383 complete!
[23.12.2020 | 11:24:34] Binarization frame 384 complete!
[23.12.2020 | 11:24:34] Binarization frame 385 complete!
[23.12.2020 | 11:24:34] Binarization frame 386 complete!
[23.12.2020 | 11:24:34] Binarization frame 387 complete!
[23.12.2020 | 11:24:34] Binarization frame 388 complete!
[23.12.2020 | 11:24:34] Binarization frame 389 complete!
[23.12.2020 | 11:24:34] Binarization frame 390 complete!
[23.12.2020 | 11:24:34] Binarization frame 391 complete!
[23.12.2020 | 11:24:34] Binarization frame 392 complete!
[23.12.2020 | 11:24:34] Binarization frame 393 complete!
[23.12.2020 | 11:24:34] Binarization frame 394 complete!
[23.12.2020 | 11:24:34] Binarization frame 395 complete!
[23.12.2020 | 11:24:34] Binarization frame 396 complete!
[23.12.2020 | 11:24:34] Binarization frame 397 complete!
[23.12.2020 | 11:24:34] Binarization frame 398 complete!
[23.12.2020 | 11:24:34] Binarization frame 399 complete!
[23.12.2020 | 11:24:34] Binarization frame 400 complete!
[23.12.2020 | 11:24:34] Binarization frame 401 complete!
[23.12.2020 | 11:24:34] Binarization frame 402 complete!
[23.12.2020 | 11:24:34] Binarization frame 403 complete!
[23.12.2020 | 11:24:34] Binarization frame 404 complete!
[23.12.2020 | 11:24:34] Binarization frame 405 complete!
[23.12.2020 | 11:24:34] Binarization frame 406 complete!
[23.12.2020 | 11:24:34] Binarization frame 407 complete!
[23.12.2020 | 11:24:34] Binarization frame 408 complete!
[23.12.2020 | 11:24:34] Binarization frame 409 complete!
[23.12.2020 | 11:24:34] Binarization frame 410 complete!
[23.12.2020 | 11:24:34] Binarization frame 411 complete!
[23.12.2020 | 11:24:34] Binarization frame 412 complete!
[23.12.2020 | 11:24:34] Binarization frame 413 complete!
[23.12.2020 | 11:24:34] Binarization frame 414 complete!
[23.12.2020 | 11:24:34] Binarization frame 415 complete!
[23.12.2020 | 11:24:34] Binarization frame 416 complete!
[23.12.2020 | 11:24:34] Binarization frame 417 complete!
[23.12.2020 | 11:24:34] Binarization frame 418 complete!
[23.12.2020 | 11:24:34] Binarization frame 419 complete!
[23.12.2020 | 11:24:34] Binarization frame 420 complete!
[23.12.2020 | 11:24:34] Binarization frame 421 complete!
[23.12.2020 | 11:24:34] Binarization frame 422 complete!
[23.12.2020 | 11:24:34] Binarization frame 423 complete!
[23.12.2020 | 11:24:34] Binarization frame 424 complete!
[23.12.2020 | 11:24:34] Binarization frame 425 complete!
[23.12.2020 | 11:24:34] Binarization frame 426 complete!
[23.12.2020 | 11:24:34] Binarization frame 427 complete!
[23.12.2020 | 11:24:34] Binarization frame 428 complete!
[23.12.2020 | 11:24:34] Binarization frame 429 complete!
[23.12.2020 | 11:24:34] Binarization frame 430 complete!
[23.12.2020 | 11:24:34] Binarization frame 431 complete!
